epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.965,1.0734,2.18964,0.9983,0.00367,0.59834,0.05826,0.04634,1.78633,4.97021,1.44403,0.000653333,0.000653333,0.000653333
2,601.971,1.12991,1.69681,1.02301,0.3303,0.45768,0.22892,0.13516,2.00069,5.26258,1.55451,0.00127644,0.00127644,0.00127644
3,840.701,1.11287,1.79814,1.02235,0.38615,0.55125,0.23578,0.13933,2.13742,5.02125,1.56049,0.00185555,0.00185555,0.00185555
4,1118.43,1.12506,1.49561,1.01565,0.3693,0.56445,0.24012,0.14722,2.10308,6.39757,1.52635,0.001802,0.001802,0.001802
5,1460.86,1.15665,2.01215,1.00191,0.36994,0.53836,0.24012,0.14018,2.1245,5.18226,1.60938,0.001736,0.001736,0.001736
6,1756.5,1.01367,1.27327,0.96975,0.33462,0.49861,0.21506,0.14558,1.94136,6.88865,1.52563,0.00167,0.00167,0.00167
7,2033.73,1.04987,1.23975,0.96779,0.3714,0.57341,0.24443,0.16339,1.95771,4.52332,1.45579,0.001604,0.001604,0.001604
8,2292.62,1.13851,1.50407,1.01835,0.34516,0.57527,0.23676,0.15591,1.9537,6.19536,1.41399,0.001538,0.001538,0.001538
9,2605.48,1.05034,1.25963,0.9857,0.39118,0.57618,0.25074,0.16448,2.00496,4.5415,1.46821,0.001472,0.001472,0.001472
10,2976.26,1.08885,1.20808,1.00355,0.40701,0.5374,0.25341,0.17528,1.94354,6.48445,1.39515,0.001406,0.001406,0.001406
11,3275.5,0.98008,1.0445,0.95816,0.39665,0.57064,0.24611,0.17047,1.8979,6.00426,1.3432,0.00134,0.00134,0.00134
12,3605.96,0.9838,0.99529,0.97348,0.38167,0.58819,0.2391,0.17999,1.77781,5.67519,1.32013,0.001274,0.001274,0.001274
13,3927.89,0.98097,0.97158,0.96719,0.38685,0.58374,0.24109,0.18379,1.79389,5.09226,1.32535,0.001208,0.001208,0.001208
14,4669.81,0.9821,0.87172,0.94857,0.39291,0.58172,0.24509,0.18437,1.84367,4.81566,1.36929,0.001142,0.001142,0.001142
15,4941.73,1.01687,0.91563,0.96743,0.39309,0.58726,0.23789,0.17641,1.82759,4.16633,1.3752,0.001076,0.001076,0.001076
16,5243.67,0.96205,0.8981,0.96012,0.38845,0.59003,0.23456,0.1684,1.85197,5.09837,1.36143,0.00101,0.00101,0.00101
17,5568.53,0.9428,0.80272,0.93524,0.39387,0.58449,0.24553,0.18146,1.75674,5.11988,1.34871,0.000944,0.000944,0.000944
18,5877.59,0.90771,0.79103,0.92228,0.3919,0.58726,0.24481,0.19086,1.74568,4.5496,1.36841,0.000878,0.000878,0.000878
19,6163.56,0.95355,0.79599,0.95794,0.39048,0.58726,0.24435,0.1741,1.83922,4.87886,1.3798,0.000812,0.000812,0.000812
20,6430.86,0.91924,0.86428,0.9109,0.39149,0.58172,0.24617,0.17415,1.83787,4.29815,1.36817,0.000746,0.000746,0.000746
